"CountryID","CountryName","DevelopmentGroup"
1,Ethiopia,Developing
2,Germany,Western
3,India,Developing
4,United States,Western
5,Norway,Western
6,Spain,Western
7,Philippines,Developing
8,Netherlands,Western
9,Nepal,Developing
10,Sweden,Western
11,France,Western
12,Ghana,Developing
13,Italy,Western
14,Kenya,Developing
15,Pakistan,Developing
16,Uganda,Developing
17,Nigeria,Developing
18,United Kingdom,Western
19,Canada,Western
20,Honduras,Developing
21,Bangladesh,Developing
22,Australia,Western
23,Israel,Western
