"Country Name","Country Code","Year","InflationRate","CountryName"
Australia,AUS,2015,1.508366722,Australia
Bangladesh,BGD,2015,6.19428023,Bangladesh
Canada,CAN,2015,1.125241361,Canada
Germany,DEU,2015,0.514426137,Germany
Spain,ESP,2015,-0.50036571,Spain
Ethiopia,ETH,2015,9.56889956,Ethiopia
France,FRA,2015,0.037514381,France
Ghana,GHA,2015,17.1499695,Ghana
Honduras,HND,2015,3.15783118,Honduras
India,IND,2015,4.906973441,India
Italy,ITA,2015,0.0387904,Italy
Kenya,KEN,2015,6.582154293,Kenya
Nigeria,NGA,2015,9.00943498,Nigeria
Netherlands,NLD,2015,0.600248147,Netherlands
Norway,NOR,2015,2.171136654,Norway
Nepal,NPL,2015,7.868908956,Nepal
Pakistan,PAK,2015,2.529328173,Pakistan
Philippines,PHL,2015,0.674192537,Philippines
Sweden,SWE,2015,-0.046784745,Sweden
Uganda,UGA,2015,5.589686063,Uganda
Australia,AUS,2016,1.276990945,Australia
Bangladesh,BGD,2016,5.513525727,Bangladesh
Canada,CAN,2016,1.428759547,Canada
Germany,DEU,2016,0.491747008,Germany
Spain,ESP,2016,-0.202598,Spain
Ethiopia,ETH,2016,6.628133372,Ethiopia
France,FRA,2016,0.183334861,France
Ghana,GHA,2016,17.45463471,Ghana
Honduras,HND,2016,2.724612233,Honduras
India,IND,2016,4.948216341,India
Italy,ITA,2016,-0.094016657,Italy
Kenya,KEN,2016,6.297249538,Kenya
Nigeria,NGA,2016,15.69681264,Nigeria
Netherlands,NLD,2016,0.316666667,Netherlands
Norway,NOR,2016,3.55,Norway
Nepal,NPL,2016,8.79034332,Nepal
Pakistan,PAK,2016,3.765119164,Pakistan
Philippines,PHL,2016,1.253698801,Philippines
Sweden,SWE,2016,0.984269245,Sweden
Uganda,UGA,2016,5.706375046,Uganda
Australia,AUS,2017,1.948647409,Australia
Bangladesh,BGD,2017,5.702070157,Bangladesh
Canada,CAN,2017,1.596884129,Canada
Germany,DEU,2017,1.509494851,Germany
Spain,ESP,2017,1.956076334,Spain
Ethiopia,ETH,2017,10.68711503,Ethiopia
France,FRA,2017,1.032282751,France
Ghana,GHA,2017,12.37192155,Ghana
Honduras,HND,2017,3.934360844,Honduras
India,IND,2017,3.328173375,India
Italy,ITA,2017,1.226533166,Italy
Kenya,KEN,2017,8.005649677,Kenya
Nigeria,NGA,2017,16.50226621,Nigeria
Netherlands,NLD,2017,1.381458714,Netherlands
Norway,NOR,2017,1.875100596,Norway
Nepal,NPL,2017,3.627096107,Nepal
Pakistan,PAK,2017,4.08537368,Pakistan
Philippines,PHL,2017,2.853187726,Philippines
Sweden,SWE,2017,1.794499047,Sweden
Uganda,UGA,2017,5.209717059,Uganda
Australia,AUS,2018,1.911400944,Australia
Bangladesh,BGD,2018,5.543621395,Bangladesh
Canada,CAN,2018,2.268225672,Canada
Germany,DEU,2018,1.732168798,Germany
Spain,ESP,2018,1.674981369,Spain
Ethiopia,ETH,2018,13.83303566,Ethiopia
France,FRA,2018,1.850815083,France
Ghana,GHA,2018,7.808765166,Ghana
Honduras,HND,2018,4.347349378,Honduras
India,IND,2018,3.938826467,India
Italy,ITA,2018,1.137487636,Italy
Kenya,KEN,2018,4.689806468,Kenya
Nigeria,NGA,2018,12.09510652,Nigeria
Netherlands,NLD,2018,1.703497947,Netherlands
Norway,NOR,2018,2.764831345,Norway
Nepal,NPL,2018,4.061163388,Nepal
Pakistan,PAK,2018,5.078057259,Pakistan
Philippines,PHL,2018,5.309346616,Philippines
Sweden,SWE,2018,1.953535301,Sweden
Uganda,UGA,2018,2.61601191,Uganda
Australia,AUS,2019,1.610767873,Australia
Bangladesh,BGD,2019,5.591996399,Bangladesh
Canada,CAN,2019,1.949269024,Canada
Germany,DEU,2019,1.445659769,Germany
Spain,ESP,2019,0.699518994,Spain
Ethiopia,ETH,2019,15.80963217,Ethiopia
France,FRA,2019,1.108254923,France
Ghana,GHA,2019,7.143640033,Ghana
Honduras,HND,2019,4.365871598,Honduras
India,IND,2019,3.729505735,India
Italy,ITA,2019,0.611246944,Italy
Kenya,KEN,2019,5.239637958,Kenya
Nigeria,NGA,2019,11.39642234,Nigeria
Netherlands,NLD,2019,2.633699102,Netherlands
Norway,NOR,2019,2.167730033,Norway
Nepal,NPL,2019,5.568685478,Nepal
Pakistan,PAK,2019,10.5783618,Pakistan
Philippines,PHL,2019,2.392065344,Philippines
Sweden,SWE,2019,1.784150974,Sweden
Uganda,UGA,2019,2.867588034,Uganda
Australia,AUS,2020,0.846905537,Australia
Bangladesh,BGD,2020,5.691074747,Bangladesh
Canada,CAN,2020,0.716999632,Canada
Germany,DEU,2020,0.144877926,Germany
Spain,ESP,2020,-0.322753017,Spain
Ethiopia,ETH,2020,20.35634686,Ethiopia
France,FRA,2020,0.476498853,France
Ghana,GHA,2020,9.887289563,Ghana
Honduras,HND,2020,3.46841178,Honduras
India,IND,2020,6.623436776,India
Italy,ITA,2020,-0.137707574,Italy
Kenya,KEN,2020,5.405162079,Kenya
Nigeria,NGA,2020,13.24602343,Nigeria
Netherlands,NLD,2020,1.272460378,Netherlands
Norway,NOR,2020,1.286584907,Norway
Nepal,NPL,2020,5.052366553,Nepal
Pakistan,PAK,2020,9.739993139,Pakistan
Philippines,PHL,2020,2.393162393,Philippines
Sweden,SWE,2020,0.497367319,Sweden
Uganda,UGA,2020,3.313322895,Uganda
Australia,AUS,2021,2.863910422,Australia
Bangladesh,BGD,2021,5.545654308,Bangladesh
Canada,CAN,2021,3.395193185,Canada
Germany,DEU,2021,3.066666667,Germany
Spain,ESP,2021,3.09313512,Spain
Ethiopia,ETH,2021,26.83952216,Ethiopia
France,FRA,2021,1.64233141,France
Ghana,GHA,2021,9.971088675,Ghana
Honduras,HND,2021,4.480879634,Honduras
India,IND,2021,5.131407472,India
Italy,ITA,2021,1.873783258,Italy
Kenya,KEN,2021,6.107936037,Kenya
Nigeria,NGA,2021,16.95284572,Nigeria
Netherlands,NLD,2021,2.675720088,Netherlands
Norway,NOR,2021,3.483880553,Norway
Nepal,NPL,2021,4.149680034,Nepal
Pakistan,PAK,2021,9.496210561,Pakistan
Philippines,PHL,2021,3.927180221,Philippines
Sweden,SWE,2021,2.163197364,Sweden
Uganda,UGA,2021,2.204572048,Uganda
Australia,AUS,2022,6.594096713,Australia
Bangladesh,BGD,2022,7.696954372,Bangladesh
Canada,CAN,2022,6.802801153,Canada
Germany,DEU,2022,6.872574386,Germany
Spain,ESP,2022,8.390576341,Spain
Ethiopia,ETH,2022,33.88987971,Ethiopia
France,FRA,2022,5.222367484,France
Ghana,GHA,2022,31.2558951,Ghana
Honduras,HND,2022,9.089639115,Honduras
India,IND,2022,6.699034141,India
Italy,ITA,2022,8.201289912,Italy
Kenya,KEN,2022,7.659862683,Kenya
Nigeria,NGA,2022,18.84718778,Nigeria
Netherlands,NLD,2022,10.00120788,Netherlands
Norway,NOR,2022,5.764123179,Norway
Nepal,NPL,2022,7.650791768,Nepal
Pakistan,PAK,2022,19.87385996,Pakistan
Philippines,PHL,2022,5.821158112,Philippines
Sweden,SWE,2022,8.369290989,Sweden
Uganda,UGA,2022,7.19578886,Uganda
Australia,AUS,2023,5.597014925,Australia
Bangladesh,BGD,2023,9.883503038,Bangladesh
Canada,CAN,2023,3.879001598,Canada
Germany,DEU,2023,5.946436677,Germany
Spain,ESP,2023,3.532361335,Spain
Ethiopia,ETH,2023,30.21882781,Ethiopia
France,FRA,2023,4.878357265,France
Ghana,GHA,2023,38.10696563,Ghana
Honduras,HND,2023,6.663251803,Honduras
India,IND,2023,5.649143189,India
Italy,ITA,2023,5.622194422,Italy
Kenya,KEN,2023,7.67139634,Kenya
Nigeria,NGA,2023,24.6595502,Nigeria
Netherlands,NLD,2023,3.838393543,Netherlands
Norway,NOR,2023,5.517849871,Norway
Nepal,NPL,2023,7.114759517,Nepal
Pakistan,PAK,2023,30.76812807,Pakistan
Philippines,PHL,2023,5.978025155,Philippines
Sweden,SWE,2023,8.548624897,Sweden
Uganda,UGA,2023,5.350948043,Uganda
Australia,AUS,2024,3.161614283,Australia
Bangladesh,BGD,2024,10.46574828,Bangladesh
Canada,CAN,2024,2.381583833,Canada
Germany,DEU,2024,2.256498143,Germany
Spain,ESP,2024,2.774178265,Spain
Ethiopia,ETH,2024,21.03774606,Ethiopia
France,FRA,2024,1.999049423,France
Ghana,GHA,2024,22.84832812,Ghana
Honduras,HND,2024,4.606210981,Honduras
India,IND,2024,4.95303551,India
Italy,ITA,2024,0.982373023,Italy
Kenya,KEN,2024,4.489788542,Kenya
Nigeria,NGA,2024,33.24209665,Nigeria
Netherlands,NLD,2024,3.347543042,Netherlands
Norway,NOR,2024,3.145301344,Norway
Nepal,NPL,2024,"",Nepal
Pakistan,PAK,2024,12.63253185,Pakistan
Philippines,PHL,2024,3.21260487,Philippines
Sweden,SWE,2024,2.835816582,Sweden
Uganda,UGA,2024,3.323380671,Uganda
Israel,ISR,2015,-0.601291007,Israel
Israel,ISR,2016,-0.551552353,Israel
Israel,ISR,2017,0.259414975,Israel
Israel,ISR,2018,0.79407566,Israel
Israel,ISR,2019,0.849783128,Israel
Israel,ISR,2020,-0.614412358,Israel
Israel,ISR,2021,1.530220072,Israel
Israel,ISR,2022,4.409978511,Israel
Israel,ISR,2023,4.205816555,Israel
Israel,ISR,2024,3.057106054,Israel
